"TOA5","21314","CR6","21314","CR6.14.4.0 CR6-WIFI.05.03","CPU:SO384680 Eddy Station1 Dugout 20251229.cr6","64104","Flux_CSFormat"
"TIMESTAMP","RECORD","FC_mass","FC_QC","FC_samples","LE","LE_QC","LE_samples","H","H_QC","H_samples","NETRAD","G","SG","energy_closure","poor_enrg_clsur","Bowen_ratio","TAU","TAU_QC","USTAR","TSTAR","TKE","TA_1_1_1","RH_1_1_1","T_DP_1_1_1","e_amb","e_sat_amb","TA_1_1_2","RH_1_1_2","T_DP_1_1_2","e","e_sat","TA_1_1_3","RH_1_1_3","T_DP_1_1_3","e_probe","e_sat_probe","H2O_density_probe","PA","VPD","TA_1_1_4","Ux","Ux_SIGMA","Uy","Uy_SIGMA","Uz","Uz_SIGMA","T_SONIC","T_SONIC_SIGMA","sonic_azimuth","WS","WS_RSLT","WD_SONIC","WD_SIGMA","WD","WS_MAX","CO2_density","CO2_density_SIGMA","H2O_density","H2O_density_SIGMA","CO2_sig_strgth_Min","H2O_sig_strgth_Min","P","ALB","SW_IN","SW_OUT","LW_IN","LW_OUT","T_nr","R_LW_in_meas","R_LW_out_meas","sun_azimuth","sun_elevation","hour_angle","sun_declination","air_mass_coeff","daytime","TS_1_1_1","TS_1_1_2","SWC_1_1_1","SWC_1_1_2","TS_CS65X_1_1_1","TS_CS65X_1_1_2","cs65x_ec_1_1_1","cs65x_ec_1_1_2","G_plate_1_1_1","G_plate_1_1_2","G_1_1_1","G_1_1_2","SG_1_1_1","SG_1_1_2","FETCH_MAX","FETCH_90","FETCH_55","FETCH_40","UPWND_DIST_INTRST","FP_DIST_INTRST","FP_EQUATION"
"TS","RN","mg m-2 s-1","Grade","samples","W m-2","Grade","samples","W m-2","grade","samples","W m-2","W m-2","W m-2","fraction","","fraction","kg m-1 s-2","grade","m s-1","deg C","m2 s-2","deg C","%","deg C","kPa","kPa","deg C","%","deg C","kPa","kPa","deg C","%","deg C","kPa","kPa","g/m^3","kPa","hPa","deg C","m s-1","m s-1","m s-1","m s-1","m s-1","m s-1","deg C","deg C","Decimal degrees","m s-1","m s-1","decimal degrees","decimal degrees","decimal degrees","m s-1","mg m-3","mg m-3","g m-3","g m-3","fraction","fraction","mm","%","W m-2","W m-2","W m-2","W m-2","Klvin","W m-2","W m-2","decimal degrees","decimal degrees","decimal degrees","decimal degrees","adimensional","fraction","deg C","deg C","%","%","deg C","deg C","dS m-1","dS m-1","W m-2","W m-2","W m-2","W m-2","","","m","m","m","m","m","%","authors"
"","","Smp","Smp","Tot","Smp","Smp","Tot","Smp","Smp","Tot","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Avg","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Min","Min","Tot","Smp","Avg","Smp","Smp","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Tot","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2026-02-23 17:00:00",1999,-0.005061273,1,36000,24.77611,1,36000,25.5975,1,36000,57.66357,14.73413,2.468279,1.173405,"FALSE",1.033152,0.04096598,1,0.1974753,-0.1225686,0.3830558,9.557478,30.99681,-6.744568,0.3707902,1.196364,10.38257,29.40435,-6.70659,0.3718821,1.264479,9.573924,32.80283,-5.984769,0.3928354,1.197687,3.010796,85.38741,8.925966,9.583312,2.910535,0.6199522,-0.104672,0.575682,0.09984357,0.2244127,10.77636,0.2596106,227,2.967552,2.912413,357.9404,11.04117,229.0596,5.50092,686.8846,1.182516,2.842004,0.1210729,0.9453826,0.9266283,0,21.13443,173.504,36.80858,287.7917,366.8236,283.5808,-79.0145,0.01738068,242.6482,16.89563,59.58149,-9.54374,2.960083,1,7.092234,8.39799,4.652513,1.799956,7.2391,6.990685,0.0434475,0.03611264,19.01763,5.514074,26.16904,3.299219,7.151414,-2.214855,36.4001,340.7444,89.8382,63.59065,266.4175,86.37215,"KormannMeixner"
"2026-02-23 18:00:00",2000,-0.009315303,8,35884,10.0713,8,35884,3.014085,8,35884,-38.23362,-5.000851,-6.156129,-0.3937494,"FALSE",0.2992747,0.03252301,2,0.1757699,-0.01617706,0.2676512,8.764449,36.15987,-5.461685,0.409087,1.134719,9.631847,34.20632,-5.421479,0.4103395,1.20302,8.809148,37.59602,-4.897844,0.4267427,1.138201,3.279768,85.34646,7.926807,8.766541,2.933394,0.5402743,-0.377759,0.4491301,0.08982909,0.2041771,10.06558,0.5249197,227,2.9927,2.957611,352.6619,8.77076,234.3381,4.998553,689.7156,2.655248,3.144625,0.1591099,0.9408429,0.9066229,0,27.7499,49.99407,11.21735,281.9293,358.9396,282.0558,-77.07755,-0.06721175,252.887,6.099413,74.58334,-9.528498,9.310295,1,7.219597,7.911195,4.67711,1.798689,7.211601,6.991903,0.04282361,0.03599666,2.297779,0.01277694,4.327963,-14.32967,2.030185,-14.34244,43.87129,624.7228,130.0703,87.58769,266.4175,76.19307,"KormannMeixner"
"2026-02-23 19:00:00",2001,0.04089786,9,36000,7.33994,9,36000,-22.56756,9,36000,-72.7343,-19.06889,-10.57729,0.2837512,"FALSE",-3.074625,0.01661251,9,0.1253739,0.1691198,0.2628105,7.554619,41.52659,-4.711383,0.432743,1.045321,8.399749,39.37401,-4.671645,0.4340323,1.107888,7.570952,42.56512,-4.360794,0.4442017,1.04659,3.428921,85.31516,6.73856,7.484664,1.631947,0.5711675,-0.485245,0.4198023,0.07095602,0.1521666,8.856661,0.8265902,227,1.758692,1.702563,343.4407,14.47052,243.5593,3.753164,692.3267,3.27396,3.340737,0.1128588,0.9447486,0.9268734,0,1.781993,-3.41456,0.8547817,280.2388,348.7038,280.0378,-68.57986,-0.1149079,262.2299,-5.43753,89.58459,-9.513035,"NAN",0.06388889,7.072955,6.911043,4.684664,1.759299,6.878249,6.555786,0.04185152,0.03538556,-7.913649,-9.069549,-12.03864,-26.09914,-4.124993,-17.02959,32.07016,1629.668,161.8563,94.5489,266.4175,66.59443,"KormannMeixner"
"2026-02-23 20:00:00",2002,0.01146556,9,36000,0.3279143,9,36000,1.928122,9,36000,-80.37071,-27.41745,-12.52188,-0.0426043,"FALSE",5.879956,0.005810719,8,0.07384118,-0.02432611,0.6576674,5.189057,51.86709,-3.917575,0.4592925,0.8881084,6.064606,49.03116,-3.875789,0.4607228,0.944409,5.189779,52.72612,-3.693614,0.4669992,0.8881834,3.635671,85.30656,4.836862,5.161508,-1.603284,0.88998,-0.8206134,0.714686,0.03951228,0.111778,6.54563,0.8990929,227,1.999553,1.80109,207.1048,25.51869,19.89514,3.51313,696.8659,3.417111,3.575721,0.08488266,0.9448131,0.9268619,0,0,-4.22134,-0.01165096,260.4899,336.6509,277.5883,-76.27995,-0.1189222,271.4342,-17.27576,104.5862,-9.497652,"NAN",0,6.775779,5.901234,4.696647,1.741638,6.38712,5.884567,0.04080917,0.03456403,-15.00294,-14.78821,-22.98138,-31.85353,-7.978437,-17.06532,65.27399,546.0048,153.3838,109.9831,266.4175,75.13116,"KormannMeixner"
"2026-02-23 21:00:00",2003,0.01470776,8,36000,0.4315283,8,36000,-5.944632,8,36000,-80.30594,-31.6321,-13.74296,0.1132663,"FALSE",-13.77576,0.009105998,7,0.09204705,0.0596571,0.1220435,2.80488,62.8326,-3.603113,0.4701924,0.7513315,3.558578,59.78269,-3.566708,0.4714706,0.7929758,2.77108,63.16227,-3.557611,0.471786,0.7495151,3.705102,85.2856,3.215052,2.731104,-2.625766,0.3230389,-0.9495361,0.3545365,0.04431798,0.1184769,4.046594,0.9592038,227,2.813372,2.79217,199.8813,7.03173,27.11871,4.204853,700.7904,3.257623,3.692234,0.06556191,0.9445133,0.9265451,0,0,-4.116321,0.05835054,250.1126,326.2439,275.4115,-76.22482,-0.09356479,281.3433,-28.97824,119.5878,-9.482299,"NAN",0,6.259014,4.869194,4.642006,1.71616,5.818374,5.151478,0.03974486,0.03366611,-18.5756,-17.2027,-29.31614,-33.94806,-10.74054,-16.74537,89.04803,5063.057,470.2121,270.8873,266.4175,39.5253,"KormannMeixner"
"2026-02-23 22:00:00",2004,0.0005463324,9,36000,1.16918,9,36000,-10.32589,9,36000,-78.16865,-31.4789,-12.87479,0.1961183,"FALSE",-8.831739,0.02959252,9,0.1658716,0.05744844,0.6067207,2.513825,67.84203,-2.835649,0.4979138,0.735862,3.411745,63.89309,-2.791943,0.4995326,0.7845092,2.448432,68.80604,-2.697004,0.5031716,0.7321791,3.955956,85.26273,2.849766,2.546402,-2.950812,0.8361474,-0.4189665,0.6881326,0.0382873,0.201922,3.928756,0.8752047,227,3.067373,2.980405,188.081,13.63896,38.91898,6.722963,699.3658,3.293324,3.91382,0.06101068,0.9443312,0.9263523,0,0,-3.312237,0.9265769,249.5439,323.4738,274.8242,-74.01481,-0.08497003,293.1311,-40.21931,134.5891,-9.46683,"NAN",0,5.673804,3.960134,4.5831,1.675752,5.263011,4.441751,0.03884625,0.032755,-19.59364,-17.61458,-31.92714,-31.03066,-12.3335,-13.41608,41.54919,1367.364,175.3945,107.533,266.4175,65.89532,"KormannMeixner"
"2026-02-23 23:00:00",2005,0.01321379,7,36000,3.920791,7,36000,-36.50194,7,36000,-83.05775,-20.98668,-4.958043,0.5249008,"FALSE",-9.309841,0.06203047,7,0.2407211,0.1405963,0.5044152,3.578738,63.11454,-2.776252,0.5000668,0.7926193,4.423501,59.68089,-2.735267,0.5015903,0.8413697,3.545582,64.09234,-2.598963,0.5067098,0.790722,3.968146,85.19887,3.397794,3.55076,-3.440714,0.6405848,-1.37925,0.7128026,0.0875823,0.3006559,4.944948,0.4545672,227,3.770676,3.706856,201.8441,10.53785,25.15588,6.772347,697.1747,1.52272,3.915674,0.02916152,0.9444258,0.9265002,0,0,-3.916179,0.4682396,251.2359,329.9092,276.1854,-78.77239,-0.0990703,308.6698,-50.321,149.5908,-9.451542,"NAN",0,5.131742,3.416998,4.587631,2.260691,4.790617,3.900809,0.03809,0.03207042,-17.24489,-14.81239,-22.81919,-19.15418,-5.574299,-4.341787,41.7853,121.1742,60.43366,45.63477,266.4175,98.05852,"Kljun et al"
"2026-02-24 00:00:00",2006,-0.02293923,9,36000,2.292198,9,36000,0.4310398,9,36000,-80.58469,-23.31815,-7.07628,-0.04755374,"FALSE",0.1880465,0.01979953,9,0.1357818,-0.002934368,0.6554733,2.523609,65.67886,-3.260885,0.4823846,0.736294,3.344358,62.18647,-3.221072,0.48382,0.7808475,2.544365,65.99049,-3.16827,0.485833,0.7371945,3.818331,85.15544,2.970275,2.531251,-2.318222,0.7601307,-0.2850602,0.8320352,0.02681335,0.2021516,3.845607,0.9023727,227,2.461162,2.335685,187.0102,18.28925,39.98975,5.955978,699.0894,3.607506,3.791632,0.06134035,0.9445308,0.9264885,0,0,-4.143392,0.2355013,248.6208,324.8266,275.1166,-76.31469,-0.1088906,330.5394,-57.9641,164.5923,-9.436108,"NAN",0,4.893393,3.010187,4.606801,1.779972,4.425113,3.519901,0.03746889,0.03161611,-17.39026,-15.09348,-22.06223,-24.57406,-4.671974,-9.480585,43.89412,739.0667,139.8578,92.36097,266.4175,73.64947,"KormannMeixner"
